id,area,exact_resource,finding,evidence,commercial_mechanism,severity,confidence,dependency
F-01,Measurement,"conversionActions/7453310793 ""pastry skincare (web) ads_conversion_purchase"" (GA4 custom event, property 515709774) and 7514901304 ""Pastry Skincare (web) purchase"" (GA4 purchase, property 525948625)","Until clicks of 2026-08-10 the primary (bidding) conversion set was dominated by the GA4 custom event ads_conversion_purchase: 866-1,669 conversions/week at ~R16 average value, versus 2-13/week for the real GA4 purchase import. From w/c 2026-08-10 the custom event stopped (last conversion date 2026-08-10) and GA4 purchase became the only primary action (include_in_conversions_metric=true only on 7514901304; 40-78 purchases/week since).","raw/35 weekly-by-action table; evidence/conversion_actions.csv; customer by-action periods (P28: ads_conv 3,407 vs GA4 purchase 31; L28: GA4 purchase 220.8)","All smart bidding (Max Conversion Value on PMax/Shopping/Search-pastryskincare, Max Conversions on Brand) optimised to a non-purchase signal until ~10 Aug; every pre-10-Aug conversion, CPA and ROAS figure in the account UI is not a purchase figure; the 12 Aug pause of PMax/Shopping was decided on distorted data.",Critical (historical) / Resolved for current serving,High,Exact date/actor of the primary-flag change NOT IN SOURCE (change_event does not log conversion actions; window starts 2026-08-08). Which GA4 property is canonical NOT VERIFIED.
F-02,Bidding/budget,"campaignBudgets/15437657173 (Pastry_Brand_Search 23660059123), MAXIMIZE_CONVERSIONS with no target CPA","Budget doubled R200 -> R400/day on 2026-08-30 09:53 via GOOGLE_ADS_MOBILE_APP (user tylerpngwenya@gmail.com). Weekly avg CPC: R0.93 (17-23 Aug), R1.09 (24-30 Aug), R2.04 (31 Aug-5 Sep). Cost +48% (R1,565 -> R2,311 for 7 vs 6 days) while clicks fell 1,440 -> 1,132 and GA4 purchases 74.5 -> 40.3 (lag caveat). Search IS was already 81-85% with budget-lost 0-14%; absolute-top IS rose 41.6% -> 47.8%.",evidence/change_events raw (2026-08-30 CAMPAIGN_BUDGET UPDATE 200000000->400000000); campaign daily table 2026-08-13..09-05 (raw/43 note); campaign L7/P7 rows,"Maximize Conversions with a larger budget bids up the same finite brand auctions; the extra spend bought position, not new brand demand.",High,Medium-High (6 complete days post-change; 90-day GA4 lookback means last-week purchases are incomplete),CS-01 requires budget authority
F-03,Serving/growth,"campaigns/23659113115 Pastry_PMax, 23654472671 Pastry_Shopping (both PAUSED 2026-08-12 17:58 web client), 24003538946 experiment (ENDED 2026-08-06); Merchant Center 5692060761 feed ZAR_29152772337","No Shopping or PMax campaign has served since 12 Aug; all 47 Merchant offers report not_eligible_in_any_campaign. L90 (mostly pre-pause) Pastry_PMax: R12,736 spend, 305.9 Google Shopping App purchases (R236k) and 31.3 GA4 purchases; Pastry_Shopping: R12,248, 81.6 GSA purchases (R57.7k); PMax search categories were ~40% brand (""pastry skincare"" 1,531 clicks, ""pastry"" 777, ""pastry body wash"" 241 of 8,668 insight clicks).","raw/37 shopping_product (47 rows, all NOT_ELIGIBLE); raw/35; raw/33 PMax categories; change_event 2026-08-12",Product (non-brand) demand is currently only reachable through the bid-starved PHI Search campaign; PMax previously cannibalised brand demand that Brand Search now captures; a re-enabled product route must be judged on the corrected purchase signal.,High,"High for state; Medium for value (attribution, not orders)",Decision + authority required (CS-05); brand exclusion on PMax needs a Pastry brand entity (NOT IN SOURCE)
F-04,Bidding/coverage,"campaigns/24142894204 Pastry | Search | Product High Intent (MANUAL_CPC, ad-group bids R3.00, budget R100/day)","33 of 47 keywords flagged AD_GROUP_CRITERION_BELOW_FIRST_PAGE_BID; first-page estimates R3.48-R29.99; campaign search IS 19-20%, rank-lost IS 78-81%, budget-lost 0-1%; spend R28/day vs R100 budget. 28d: R1,019, 358 clicks, 9 GA4 purchases R6,430 (ROAS 6.3); purchase-attributed terms: glycolic acid body wash, lactic acid body wash, pastry niacinamide (body) lotion, pastry anti pigment hand cream.",evidence/keywords_active_campaigns.csv; keyword_metrics_active csv; raw/53,"Bid ceiling, not budget or keywords, is what limits the product route; converting product terms are losing 48-81% of eligible impressions on rank.",Medium,High,CS-03 requires bidding authority
F-05,Destination,adGroups/197968132526 Product | Anti-Pigment Hand Cream -> https://pastryskincare.co.za/products/anti-pigment-spf30-hand-cream,"Merchant feed copy shows the only listed variant shopify_ZZ_8818191630577_46989386907889 OUT_OF_STOCK (plus image_unwanted_overlays); the ad group spent R152 on 55 clicks in 28d (2 GA4 purchases R550, so stock-out may be recent). Live page NOT VERIFIED (egress blocked).",raw/37; raw/47; ads_all_campaigns.json,Paid clicks landing on an unbuyable product page produce no purchases.,Medium,Medium (feed copy only; snapshot time 2026-09-06 ~10:21Z),CS-02 needs stock confirmation in Shopify or live page
F-06,Merchant/feed,shopping_product items shopify_ZZ_9322841997553_46993404330225 (Brightening Body Oil) and shopify_ZZ_8818191630577_46989386907889 (Anti-Pigment Hand Cream SPF30),"image_unwanted_overlays ERROR on image link for 2 offers; 4 offers OUT_OF_STOCK (Mandelic Black Currant variant, Anti-Pigment Hand Cream SPF30, HA Hand Cream coconut, HA Body Lotion vanilla).",raw/37,Would disapprove those offers the moment a product campaign is re-enabled.,Medium (latent),High,CS-06 store-side fix; do not edit feeds from Ads
F-07,Negatives,sharedSets/11990873152 Master Negatives - Pastry Skincare (257) and the 88 phrase negatives on Pastry_Shopping/experiment,"Not attached to any active campaign, so no live conflict. If attached to Brand/PHI they would block converting brand misspellings (""pantry skincare"" 1 GA4 purchase) and brand+retailer navigation (""pastry skincare clicks"" 1 GA4 purchase 28d), and BROAD ""azelaic acid"" would block BHA Overnight Balm ingredient queries.",raw/16; raw/40; campaign_shared_set query,"Overblocking risk is latent, not active.",Low (latent),High,none
F-08,Measurement hygiene,"conversionActions/7412046457 and 7453310793 (GA4 property 515709774) still ENABLED as secondary; two GA4 properties linked (515709774, 525948625)",Old-property purchase action last converted 2026-02-19; the custom event action last converted 2026-08-10; both remain ENABLED. product_link also lists 930616852245 (type UNKNOWN).,evidence/conversion_actions.csv; product_link query,"No current double counting (both secondary), but they will re-pollute reporting if either is re-marked primary or if the old property starts sending events again.",Low,High,Conversion-setting change needs authority; canonical property NOT VERIFIED
F-09,Ad copy claims,"adGroupAds 800400380567 (Brand): headline ""Nationwide Delivery 24-72hrs"", description ""...Nationwide delivery in 24-72 hours""; callout asset ""Same-Day In Select Areas"" on both active campaigns",Delivery-time promises are live in approved ads; store policy NOT VERIFIED (storefront blocked).,evidence/ads_all_campaigns.json; campaign_assets_raw.json,Policy/claims risk only if untrue; no proposed copy in this package contains delivery promises.,Low,Medium,Evidence needed: current shipping policy page
F-10,Experiment housekeeping,"experiments/10061221130 Target ROAS experiment - Pastry_Shopping - 12 (ENABLED, 2026-07-06..2026-08-06); trial campaign 24003538946 ENABLED/ENDED sharing budget 15436937488; priority changed 0->2 on 2026-08-09",Experiment ended without being applied or ended in the UI; trial campaign still ENABLED (serving_status ENDED).,experiment query; change_event 2026-08-09; campaign_budget reference_count 2,"No serving effect now; will matter if Pastry_Shopping is re-enabled (shared budget, trial with tROAS 2.72).",Low,High,none
F-11,PMax policy,assetGroupAssets on asset groups 6687984691 (Pastry_PMax) and 6681419689 (PMax-pastryskincare): 1 SQUARE_MARKETING_IMAGE each APPROVED_LIMITED (YOUTUBE_AD_REQUIREMENTS_NEGATIVE_EVENTS_AND_IMAGERY),Explains campaign primary_status_reason HAS_ASSET_GROUPS_LIMITED_BY_POLICY; all other 116 assets APPROVED.,raw/48,Limits YouTube placements only if PMax is re-enabled.,Low,High,none
F-12,Coverage,search_term_view / campaign_search_term_insight,Search STV 90d covers 91.5% of Search spend (uncapped); Shopping STV 81.8%/89.1% after full partitioning; Pastry_PMax insight shows 34% of insight clicks withheld; Shopping prev-90 export remains capped.,06_search_term_coverage_ledger.csv,Withheld spend is not evidence of waste and no exclusion is proposed on it.,Info,High,none
F-13,Keywords,"PHI keywords: [evening pigment corrector], [glycolic acid niacinamide mini kit], [salicylic acid niacinamide mini kit] RARELY_SERVED; Brand [pastry face mask] RARELY_SERVED",No impressions; Semrush returned no ZA volume for those phrasings.,evidence/keywords_active_campaigns.csv; semrush csv,No cost; no action.,Low,High,none
