ad_id,creative_id,concept,frame_observation,product_visibility,text_position_vs_safe_zone,claim_or_rights_flag,other,coverage,source
120247999501100393,1542319103969645,Anti-Pigment Hand Cream testimonial,"Creator to camera holding tube at face height; bold white caption ""THE PASTRY SKINCARE HAND CREAM EVERYONE NEEDS"" at ~70% height","product visible, brand legible",caption lower third: possible caption/CTA overlap,none visible,none,"single static Instagram Reels preview frame; video NOT played; audio, pacing, subtitles over time, end card and click destination NOT VERIFIED",ads_get_ad_preview ad_format=INSTAGRAM_REELS; frames inspected 2026-09-06 10:35-10:53 UTC
120247999503210393,28412527811717756,Dark underarm ingredients,"Boxed Anti Pigmentation Deodorant held in both hands over marble; caption ""OUR ANTI PIGMENT DEODORANT"" ~78% height",product box visible,lower third,none,none,"single static Instagram Reels preview frame; video NOT played; audio, pacing, subtitles over time, end card and click destination NOT VERIFIED",ads_get_ad_preview ad_format=INSTAGRAM_REELS; frames inspected 2026-09-06 10:35-10:53 UTC
120248284932400393,1078726171766785,Inner-thigh routine,"In-store, creator holds Glycolic wash and Niacinamide lotion; caption ""HOW TO MAKE YOUR HYPERPIGMENTATION BODYCARE COMBO WORK FASTER"" ~75-85%",two products visible,"lower third, four lines","""work faster"" implies speed; evidence-dependent",none,"single static Instagram Reels preview frame; video NOT played; audio, pacing, subtitles over time, end card and click destination NOT VERIFIED",ads_get_ad_preview ad_format=INSTAGRAM_REELS; frames inspected 2026-09-06 10:35-10:53 UTC
120247999504000393,1583181246838108,Dry brushing routine (recut),"Title card ""3-Step Dry Brushing Routine for Body Hyperpigmentation"" top; brush in hand",no product in frame,top: inside safe zone,none,none,"single static Instagram Reels preview frame; video NOT played; audio, pacing, subtitles over time, end card and click destination NOT VERIFIED",ads_get_ad_preview ad_format=INSTAGRAM_REELS; frames inspected 2026-09-06 10:35-10:53 UTC
120248284925050393,1105133075290115,Underarm pigmentation + sweat,"Roll-on held to camera, creator behind; caption ""DARK UNDERARMS AND HEAVY SWEATING? THIS HACK IS FOR YOU"" ~75%",product visible,lower third,"""hack"" framing",none,"single static Instagram Reels preview frame; video NOT played; audio, pacing, subtitles over time, end card and click destination NOT VERIFIED",ads_get_ad_preview ad_format=INSTAGRAM_REELS; frames inspected 2026-09-06 10:35-10:53 UTC
120247999500050393,2141198163103531,Salicylic + Vitamin C EXACT,"Green card: ""FADE YOUR BURN MARK WITH THIS COMBO"", before/after scar photo, DM screenshot with ""iBleach"", creator pointing",no product in frame,top text safe; DM block centre,"before/after, scar fading, bleach association: HIGH claim risk",customer photo rights NOT VERIFIED,"single static Instagram Reels preview frame; video NOT played; audio, pacing, subtitles over time, end card and click destination NOT VERIFIED",ads_get_ad_preview ad_format=INSTAGRAM_REELS; frames inspected 2026-09-06 10:35-10:53 UTC
120247999503610393,1673149103765536,Body-acne POV,"Three labelled bottles on bath edge; ""POV: you are choosing a routine for body acne"" top; labels per bottle",three products visible and named,top and middle: safe,none,none,"single static Instagram Reels preview frame; video NOT played; audio, pacing, subtitles over time, end card and click destination NOT VERIFIED",ads_get_ad_preview ad_format=INSTAGRAM_REELS; frames inspected 2026-09-06 10:35-10:53 UTC
120248284944650393,1760670345281405,Body-specific serum / Overnight Balm,"Creator in store spraying/applying to arm; caption ""YOU ARE WASTING MONEY USING SERUMS ON YOUR BODY"" ~72%",product small in hand,lower third,none,none,"single static Instagram Reels preview frame; video NOT played; audio, pacing, subtitles over time, end card and click destination NOT VERIFIED",ads_get_ad_preview ad_format=INSTAGRAM_REELS; frames inspected 2026-09-06 10:35-10:53 UTC
120247999502800393,1583817143389284,Stretch-mark recut,"Creator holds Niacinamide Body Lotion; caption ""USE THE PASTRY SKINCARE NIACINAMIDE BODY LOTION DAILY"" ~72%",product visible,lower third,none,none,"single static Instagram Reels preview frame; video NOT played; audio, pacing, subtitles over time, end card and click destination NOT VERIFIED",ads_get_ad_preview ad_format=INSTAGRAM_REELS; frames inspected 2026-09-06 10:35-10:53 UTC
120248284964440393,1256482663222241,INTL deodorant review (not delivering),"Green card ""REDUCED UNDERARM PIGMENTATION IN JUST 4 WEEKS REVIEW"" with before/after underarm photos",no product in frame,centre,before/after + time-bound result: claim risk,customer photo rights NOT VERIFIED,"single static Instagram Reels preview frame; video NOT played; audio, pacing, subtitles over time, end card and click destination NOT VERIFIED",ads_get_ad_preview ad_format=INSTAGRAM_REELS; frames inspected 2026-09-06 10:35-10:53 UTC
120248284929570393,2000824997974370,Hand creams by need,"Two tubes held up; question ""WHEN SHOULD YOU BE USING EACH PASTRY SKINCARE HAND CREAM?"" top",two products visible,top: safe,none (one product now out of stock),none,"single static Instagram Reels preview frame; video NOT played; audio, pacing, subtitles over time, end card and click destination NOT VERIFIED",ads_get_ad_preview ad_format=INSTAGRAM_REELS; frames inspected 2026-09-06 10:35-10:53 UTC
120248284928040393,2137843480105917,Stretch-mark routine (original),Same frame as stretch-mark recut: Niacinamide lotion held; caption ~72%,product visible,lower third,none,none,"single static Instagram Reels preview frame; video NOT played; audio, pacing, subtitles over time, end card and click destination NOT VERIFIED",ads_get_ad_preview ad_format=INSTAGRAM_REELS; frames inspected 2026-09-06 10:35-10:53 UTC
120248284941210393,795955873574185,Choose body wash by concern,"Three staff each holding a body wash; title ""BODY WASHES FOR DIFFERENT CONCERNS"" top, product names mid",three products visible,top/middle: safe,none,none,"single static Instagram Reels preview frame; video NOT played; audio, pacing, subtitles over time, end card and click destination NOT VERIFIED",ads_get_ad_preview ad_format=INSTAGRAM_REELS; frames inspected 2026-09-06 10:35-10:53 UTC
120248284938000393,2504456496703261,Inner-thigh combos,"Close-up of thigh with lotion being applied; caption ""THESE 3 COMBOS WILL CLEAR YOUR DARK INNER THIGHS"" centre",no product in frame,centre: safe,"""will clear"" absolute efficacy claim: claim risk; body close-up",none,"single static Instagram Reels preview frame; video NOT played; audio, pacing, subtitles over time, end card and click destination NOT VERIFIED",ads_get_ad_preview ad_format=INSTAGRAM_REELS; frames inspected 2026-09-06 10:35-10:53 UTC
120248284936140393,1036641345651931,Six-week customer journey,"Creator holds Overnight Balm, Glycolic wash, Niacinamide lotion; subtitle ""SIX WEEKS AGO I"" ~85%",three products visible,bottom band: likely overlap with Reels UI,testimonial timeframe,none,"single static Instagram Reels preview frame; video NOT played; audio, pacing, subtitles over time, end card and click destination NOT VERIFIED",ads_get_ad_preview ad_format=INSTAGRAM_REELS; frames inspected 2026-09-06 10:35-10:53 UTC
120248284922900393,2050311515844483,Salicylic + Vitamin C (W1 copy),"Identical frame to the EXACT recut (green card, before/after, DM screenshot)",no product,see above,same HIGH claim risk,same,"single static Instagram Reels preview frame; video NOT played; audio, pacing, subtitles over time, end card and click destination NOT VERIFIED",ads_get_ad_preview ad_format=INSTAGRAM_REELS; frames inspected 2026-09-06 10:35-10:53 UTC
120248284939180393,1389786629919253,Premium body wash FAQ,"Esthetician in store holding Premium Body Wash; caption ""AESTHETICIAN ANSWERS FREQUENTLY ASKED QUESTIONS ABOUT THE NEW PASTRY BODY WASH"" ~70%",product visible,lower-middle,none,none,"single static Instagram Reels preview frame; video NOT played; audio, pacing, subtitles over time, end card and click destination NOT VERIFIED",ads_get_ad_preview ad_format=INSTAGRAM_REELS; frames inspected 2026-09-06 10:35-10:53 UTC
