location,shopify_location_verified,shopify_name_as_stored,city_province,fulfills_online_orders,gbp_state,website_local_asset,observed_citations_this_run,gap_and_next_evidence,source
CAVEAT,"GBP columns are NOT VERIFIED for every row: no authenticated Business Profile channel exists in this session and the dispatch (line 34) forbids inferring readiness from public map results. WebSearch results contained zero GBP artifacts for any store — which proves nothing about GBP state (the tool does not render local packs).",,,,,,,,"source-probes.json; websearch-local.json cross_query_observations"
Canal Walk (Cape Town),yes — active,BeautyOnTApp Canal Walk,Cape Town / Western Cape,false,NOT VERIFIED,"/pages/locations surfaced for the 'BeautyOnTApp Canal Walk' query (shared page; no per-store page exists)",no mall-directory page observed this run (absence ≠ nonexistence),"GBP audit + decide per-store landing pages; mall citation check","shopify-theme-config.json locations; websearch-local.json"
Fourways Mall (Johannesburg),yes — active,BeautyOnTApp Fourways Mall,Johannesburg / Gauteng,false,NOT VERIFIED,/pages/locations surfaced for the store query,no mall-directory page observed this run,same as above,"shopify-theme-config.json; websearch-local.json"
Gateway (Umhlanga/Durban),yes — active,BeautyOnTApp Gateway Umhlanga,uMhlanga / KwaZulu-Natal,false,NOT VERIFIED,/pages/locations surfaced for the store query,no mall-directory page observed this run,"same; note a tool-SYNTHESIZED answer (not verbatim SERP) gave 'Gateway Theatre of Shopping, 1 Palm Blvd, Umhlanga Ridge, Durban' vs Shopify 'Gateway Umhlanga' — align naming during NAP pass (F-LOCAL-02)","shopify-theme-config.json; websearch-local.json synthesized answer (labeled synthesis)"
Sandton City (Sandton),yes — active,BeautyOnTApp Sandton City,Sandton / Gauteng,false,NOT VERIFIED,/pages/locations surfaced for the store query,"sandtoncity.com/shops/beauty-on-tapp/ observed; magicpin.com aggregator observed","GBP audit; confirm mall listing NAP + link target","shopify-theme-config.json; websearch-local.json"
Mall of Africa (Midrand),yes — active,"BeautyonTApp.  Mall of Africa (as stored: case variant, period, double space)",Midrand / Gauteng,false,NOT VERIFIED,/pages/locations surfaced for the store query,"mallofafrica.co.za/store/beauty-on-tapp/ observed; findglocal.com aggregator observed","normalize stored name (F-LOCAL-02); GBP audit","shopify-theme-config.json; websearch-local.json"
Menlyn Park (Pretoria),yes — active,BeautyOnTApp Menlyn Park,Pretoria / Gauteng,false,NOT VERIFIED,/pages/locations surfaced for the store query,"menlynpark.co.za/stores/beauty-on-tapp/ observed; a third-party synthesized answer cited LEGACY domain shopbeautyontapp.co.za as store website (unconfirmed — page unfetchable)","GBP audit; verify which website URL the Menlyn listing carries; update legacy citation if confirmed","shopify-theme-config.json; websearch-local.json"
Hemingways Mall (East London),NO — no Shopify location exists,n/a,"East London / Eastern Cape per tool-SYNTHESIZED answer only (opening date 2026-06-27, address at Two Rivers Drive — synthesis, NOT verbatim SERP)",n/a,NOT VERIFIED,"'7 SA Locations' indexed title (verbatim); Hemingways naming appears only in tool synthesis presumed drawn from /pages/locations","query 'BeautyOnTApp Hemingways' returned NO store-specific link artifacts — generic own-site pages, LinkedIn, and an irrelevant Wikipedia result only","HELD AS UNVERIFIED LOCATION (dispatch: do not assume a store is configured). Decision D5: reconcile — likely a recently-opened store missing from Shopify, or overstated site copy; store facts must come from T","websearch-brand.json (synthesis caveat); websearch-local.json (synthesized details + empty link list); shopify-theme-config.json locations (absence)"
Head Office (Sandton),yes — active,BeautyonTApp. Head Office,Sandton / Gauteng,true (sole online fulfillment),NOT VERIFIED (whether a GBP should exist for HO is itself a decision),"not a retail store; excluded from '7 SA Locations' arithmetic question (6 retail + HO = 7 Shopify locations vs 7 retail claimed on site)",none observed,"clarify store count narrative during D5","shopify-theme-config.json locations"
LOCAL-INVENTORY READINESS,"NOT READY TO DECLARE (and not declared): dispatch P14 requires reconciled Shopify locations + GBP + store codes + location-level inventory. Verified today: locations exist but all 6 mall stores have fulfillsOnlineOrders=false, one claimed store has no location object, and GBP is unverified for all.",,,,,,,,F-LOCAL-01/-03/-05
