surface,current_evidence,verified_strength,verified_gap,confidence,source,validation_method
RUBRIC,"Declared rubric: each surface is graded on a reproducible tri-state — VERIFIED STRENGTH (first-party or directly observed evidence of health), VERIFIED GAP (first-party or directly observed evidence of deficiency), NOT VERIFIED (no accessible evidence this session; never scored). No numeric scores are assigned because 9 of 12 dispatch-required sources were inaccessible (see 00-source-manifest.md); inventing a 0-10 score would violate the dispatch's citation rule.",,,,dispatch line 121,n/a
technical,"MAIN theme v8.2.2 verified (role MAIN, updated 2026-07-31T04:14Z); robots.txt.liquid content read in full; canonical + noindex logic read; 92 redirects enumerated (50 sampled)","Canonical tag present; disciplined noindex rules for search/cart/filtered/sorted/tagged/overflow-paginated pages; custom robots = default + 1 intentional Allow; redirect infrastructure in active use","5 redirects sit on live nav-linked collection paths (F-TECH-01); 2 verified redirect chains (F-TECH-02); 1 broken redirect target (F-TECH-03); Google still surfacing 6+ superseded URLs (F-TECH-04); crawl/index efficiency itself NOT VERIFIED (no GSC, no crawler this session)",high for findings listed; low for whole-surface health,"shopify-theme-config.json; shopify-content-architecture.json; websearch-brand.json","GSC coverage report + URL inspection (indexed version); live fetches from unblocked vantage"
demand,"Only US-origin WebSearch observation available; GSC + Semrush both inaccessible (Semrush skipped per T directive this conversation)","beautyontapp.com surfaced in 6 of 10 observed non-brand category queries","Absent from 4 of 10 observed queries (Beauty of Joseon, acne treatment, buy makeup; COSRX won by legacy domain); volumes, clicks, CTR, rankings ALL NOT VERIFIED",medium for presence/absence in observed lists; zero for demand sizing,"websearch-category.json","GSC performance export (ZA, 16 months) once access exists"
architecture,"525 collections fully paginated; 10 menus read; 32 pages; redirect table; metafield/metaobject definitions","3-level mega-nav with concern/type/ingredient facets; breadcrumb_parent custom metafield system; 11-page ingredient hub; rich merchandising metafields","Default main-menu mis-nested with product-URL brand links (F-ARCH-01); mega-nav dead/product links (F-ARCH-02); 7 duplicate-intent collection pairs (F-ARCH-03); 7 handle-title mismatched recycled collections (F-ARCH-04); ~225 empty programmatic collections (F-ARCH-06)",high,"shopify-content-architecture.json","internal-link crawl once site fetchable; nav click-path audit"
onpage,"Full active catalog scanned (1623/1623); all 525 collections scanned; layout title/meta logic read","SEO titles 96.5% and SEO descriptions 97.8% on products; title logic brand-suffixes only when <=60 chars; collection meta fallback prevents empty descriptions","50.3% of collections lack seo.description; 72.8% lack body copy; 131 thin product descriptions; 62 empty featured alts (intentional-decorative subset unknown); 2 pages with slug-style indexed titles",high,"shopify-products-quality.json; shopify-content-architecture.json; websearch-brand.json","rendered-page sampling + GSC search-appearance data"
local,"7 Shopify locations enumerated with flags; store queries observed via WebSearch; locations page indexed title captured","Locations page indexed and surfaced for all 7 observed store queries; 6 active mall stores + head office structured in Shopify","Hemingways store claimed on site but absent from Shopify (F-LOCAL-01); location naming drift (F-LOCAL-02); GBP state for every store NOT VERIFIED (F-LOCAL-03); only 3 of 7 mall-directory citations observed; 1 legacy-domain citation observed (Menlyn, unconfirmed)",high for Shopify-side; zero for GBP-side,"shopify-theme-config.json locations; websearch-local.json","authenticated GBP audit per store (D1)"
shopping,"Full catalog GTIN/type/publication scan; publications list; Simprosys metafield namespace present; MC 5717759749 inaccessible","Feed plumbing exists (mm-google-shopping metafields, Google & YouTube channel present-not-enabled-further per P16); prices/currency ZAR native","98.34% of active products missing barcode/GTIN (F-SHOP-01); 33.6% missing productType (F-SHOP-02); 18 active products unpublished to Online Store (F-SHOP-04); actual MC eligibility/disapprovals/free-listing status NOT VERIFIED",high for catalog facts; zero for MC state,"shopify-products-quality.json; shopify-theme-config.json","MC diagnostics readback (D1)"
entities,"4 schema snippets verified in theme (Organization home-only, LocalBusiness global, Breadcrumb, About); Product schema absent from theme consistent with Webrex ownership; social/app profiles observed in index","Structured-data architecture deliberate and single-owner per type; brand name consistently indexed; social presence (IG, TikTok, X) + both app stores indexed","Rendered JSON-LD validity NOT VERIFIED; Organization sameAs contents NOT VERIFIED (snippet body not extracted); legacy domain still indexed with current brand title and outranking main site on 1 observed query (F-ENT-02); knowledge panel state NOT VERIFIED",medium,"shopify-theme-config.json; websearch-brand.json","Rich Results test + rendered source from unblocked vantage"
authority,"No accessible backlink source this session (Semrush skipped per T; GSC unavailable)",NOT VERIFIED,"NOT VERIFIED — entire surface is an evidence gap; one reputational observation (Hellopeter '2.7' in an indexed title, unconfirmed) logged as F-ENT-03",zero,"source-probes.json; user directive this conversation","GSC Links export; optional third-party index if T re-enables one"
ai_search,"llms page + 11 ingredient pages verified in Admin; no llms.txt in theme; ZA AI Overview observation impossible this session","Active GEO investment: 'AI Agents & LLMs' page (updated 2026-07-31) + ingredient hub with answer-shaped titles (F-AI-02)","AI Overview / AI-surface citation state NOT VERIFIED (no ZA SERP channel); root llms.txt existence NOT VERIFIED; passage-level answerability of collection pages weak where descriptions are empty (72.8%)",medium for assets; zero for visibility,"shopify-content-architecture.json; shopify-theme-config.json llms_agents_check","ZA-located AI Overview observation protocol (file 14 KPI)"
