query_or_cluster,geography,device,language,intent,demand_evidence,current_owner_url,rank_date_database,serp_features_observed,competitor_owners_observed,gap,source
GLOBAL CAVEAT,"target market ZA; ALL observations below are US-datacenter WebSearch link lists retrieved 2026-07-31 (04:51-05:01Z) — NOT ZA SERPs, NOT ranks; 'list position' = order in returned links only. Demand volumes NOT VERIFIED for every row (GSC inaccessible; Semrush skipped per T directive this conversation).",,,,,,,,,,source-probes.json + user directive
korean skincare south africa,ZA-target / US-observed,unknown (tool default),en,commercial category,NOT VERIFIED — no demand source this session,https://beautyontapp.com/collections/korean-skincare,"list position 7 of returned links, 2026-07-31, WebSearch US","none rendered by tool (flat link list)","clicks.co.za/brands/k-beauty; glowtheory.com; seouloftokyo.co.za; secretskin.co.za; kbeauty.co.za; kbeauty-sa.com","present but behind 6 others in returned list; collection has 525 products + rich description (strength to defend)",websearch-category.json q1
skincare online south africa,ZA-target / US-observed,unknown,en,commercial category,NOT VERIFIED,https://beautyontapp.com/,"list position 3, 2026-07-31, WebSearch US",none rendered,"skinmiles.com; secretskin.co.za; skinfunctional.com","homepage owns the query rather than /collections/skincare (1669 products) — page-ownership question needs GSC page/query data",websearch-category.json q2
COSRX south africa,ZA-target / US-observed,unknown,en,brand-in-market (COSRX is #1 vendor: 100 products),NOT VERIFIED,"NONE on beautyontapp.com — legacy shopbeautyontapp.co.za page appeared at list position 9 instead","2026-07-31, WebSearch US",none rendered,"glowtheory.com/collections/cosrx; arcstore.co.za/brands/cosrx; superbalist.com; cosmetology.co.za; seouloftokyo.co.za","main-site /collections/cosrx absent while legacy domain surfaces — strongest single query-level symptom of F-ENT-02 (split equity)",websearch-category.json q3 + shopify-products-quality.json topVendors
ANUA south africa,ZA-target / US-observed,unknown,en,brand-in-market (ANUA: 46 products),NOT VERIFIED,https://beautyontapp.com/collections/anua,"list position 10, 2026-07-31, WebSearch US",none rendered,"caretobeauty.com/za/anua; kbeauty-sa.com/pages/anua-south-africa; takealot.com","present but trailing; note kbeauty-sa.com wins with a dedicated 'anua-south-africa' landing PAGE (observed URL pattern), not a bare collection",websearch-category.json q4
Beauty of Joseon south africa,ZA-target / US-observed,unknown,en,brand-in-market (site sells the brand: /collections/beauty-of-joseon exists with 95-char description),NOT VERIFIED,NONE — fully absent from returned list,"2026-07-31, WebSearch US",none rendered,"seouloftokyo.co.za; arcstore.co.za; superbalist.com; bash.com; kbeauty.co.za; caretobeauty.com","absent despite stocking the brand; collection description is 1 boilerplate sentence (sub-100-char row in content evidence)",websearch-category.json q5 + shopify-content-architecture.json sub_100_char rows
CeraVe online south africa,ZA-target / US-observed,unknown,en,brand-in-market dermocosmetic,NOT VERIFIED,https://beautyontapp.com/collections/cerave,"list position 6, 2026-07-31, WebSearch US",none rendered,"cosmetology.co.za/brand/cerave-south-africa; dermastore.co.za; caretobeauty.com",present mid-list; competitor URLs are brand+country landing patterns,websearch-category.json q6
La Roche-Posay south africa online,ZA-target / US-observed,unknown,en,brand-in-market dermocosmetic,NOT VERIFIED,https://beautyontapp.com/collections/la-roche-posay,"list position 5, 2026-07-31, WebSearch US",none rendered,"clicks.co.za; skinmiles.com; cosmetology.co.za; dermastore.co.za; takealot.com",present mid-list; collection has rich description (listed in rich_description_examples),websearch-category.json q7
acne treatment products south africa,ZA-target / US-observed,unknown,en,concern/commercial,NOT VERIFIED,NONE — fully absent,"2026-07-31, WebSearch US",none rendered,"skinfunctional.com/collections/acne; bash.com","absent despite /collections/acne (360 products, strong indexed title 'Best Skincare for Acne in SA – Korean & Local Treatments'); concern-cluster ownership unproven — needs GSC + ZA observation",websearch-category.json q8
same day beauty delivery johannesburg,ZA-target / US-observed,unknown,en,fulfillment-differentiator,NOT VERIFIED,https://beautyontapp.com/,"list position 7, 2026-07-31, WebSearch US",none rendered,none dominant in returned list,"differentiator query surfaces homepage; no dedicated same-day-delivery landing page exists in the 32-page inventory (delivery page is generic 'Delivery & Shipping')",websearch-category.json q9 + shopify-content-architecture.json pages.all_pages
buy makeup online south africa,ZA-target / US-observed,unknown,en,commercial category,NOT VERIFIED,NONE — fully absent,"2026-07-31, WebSearch US",none rendered,"superbalist.com; bash.com; arcstore.co.za","absent; /collections/make-up exists and is indexed with a strong title ('Makeup | Beauty on TApp South Africa | Korean & Local Cosmetics') but did not surface for the category query",websearch-category.json q10 + websearch-brand.json
brand: BeautyOnTApp,ZA-target / US-observed,unknown,en,navigational,NOT VERIFIED,https://beautyontapp.com/ + 20 more own URLs with indexed titles captured,"2026-07-31, WebSearch US","no feature markup rendered by tool; knowledge-panel state NOT VERIFIED","own properties dominate (site, app stores, IG, TikTok, X)","brand SERP healthy at title level; stale legacy artifacts indexed (/shop/, legacy domain) — see F-TECH-04/F-ENT-02",websearch-brand.json
store queries (7 malls),ZA-target / US-observed,unknown,en,local navigational,NOT VERIFIED,/pages/locations surfaced for ALL 7 store queries,"2026-07-31, WebSearch US","local pack/GBP artifacts not renderable by this tool — state NOT VERIFIED","mall directories (sandtoncity.com, mallofafrica.co.za, menlynpark.co.za) for 3 of 7","no per-store landing pages exist (single /pages/locations serves all queries); GBP state unknown (F-LOCAL-03)",websearch-local.json
