scope,resource,applies_to_active_campaign,negatives,conflict_with_positive_keywords,overblocking_risk,served_evidence,verdict,source
Customer level,customer_negative_criterion (8 rows),yes (all campaigns),"Content labels only: PARKED_DOMAIN, SEXUALLY_SUGGESTIVE, PROFANITY, TRAGEDY, BELOW_THE_FOLD, EMBEDDED_VIDEO, LIVE_STREAMING_VIDEO, SOCIAL_ISSUES; no keyword negatives",none,none for Search,n/a,PRESERVE,inline customer_negative_criterion
Campaign level,Pastry_Brand_Search 23660059123 campaign_criterion,yes,PHRASE: beauty on tap; beauty on tapp; beautyontap; beautyontapp,none (no positive contains these),none,no BOT-brand queries in Brand STV 28d,PRESERVE,raw/31
Campaign level,Pastry | Search | Product High Intent 24142894204 campaign_criterion,yes,PHRASE medicube (301776735255); EXACT tower 28 spray (891316697473); EXACT oh so heavenly luminous glow body gel oil (2485332079865),none,none (competitor/other brand navigational),no such queries in PHI STV 28d,PRESERVE,raw/31; change_event 2026-08-14 18:02
Ad group level,ad_group_criterion negative=TRUE,n/a,0 negative keywords at ad-group level in the account,none,none,n/a,n/a,ad_group_criterion negative query (0 rows)
Shared list,Master Negatives - Pastry Skincare sharedSets/11990873152 (257 members),NO - attached only to 8 paused campaigns (campaign_shared_set); reference_count 10 includes removed campaigns,"92 BROAD, 21 EXACT (BOT brand), 144 PHRASE incl. retailers (clicks, dischem, takealot, woolworths, arc, bash), competitor brands, and generic terms (azelaic acid, barrier serum, collagen, retinol body cream, rosehip oil, coconut body oil, hand scrub, pantry lotion, pantry products)","If attached to active campaigns: BROAD ""azelaic acid"" would block queries for BHA Overnight Body Balm (ad copy lists azelaic acid); PHRASE ""pantry lotion""/""pantry products"" would block converting brand misspellings (pantry skincare = 1 GA4 purchase in Brand 28d); PHRASE ""clicks""/""dischem""/""takealot""/""woolworths"" would block brand+retailer navigation (""pastry skincare clicks"" 14 clicks 1 GA4 purchase 28d)",HIGH if attached; currently NONE,Brand STV 28d shows those queries serving and converting,PRESERVE non-attachment; do NOT attach to active campaigns without pruning; no removal needed now,"raw/16, campaign_shared_set query"
Shared list,PNCapital_BrandProtection_BOT sharedSets/12075865584 (57) and Pastry_Competitor_Brands_Fallback_Negatives sharedSets/12075866238 (20),NO (reference_count 0),K-beauty brands + BOT brand; retailer/competitor names,none,n/a (unattached),n/a,PRESERVE (unattached); evidence needed before any attachment,raw/16
Brand lists,"BOT / BeautyOnTApp Brands / BeautyOnTApp_Retailer_Exclude / Pastry_Competitor_Retailers_Exclude (Clicks, Dis-Chem, Edgars, MYKOCO, SEPHORA, Takealot, Woolworths)",Only sharedSets/12005492433 (BeautyOnTApp Brands) applied as negative brand list on paused Pastry_PMax,brand entities,none,If Pastry_Competitor_Retailers_Exclude were applied to PMax it would suppress retailer-brand queries (pastry skincare clicks/woolworths/dischem appeared in PMax categories with clicks),n/a,EVIDENCE NEEDED: whether Pastry is stocked at Clicks/Dis-Chem/Woolworths/Takealot (NOT VERIFIED),"raw/16, raw/31"
Campaign level (paused),Pastry_Shopping 23654472671 and experiment 24003538946: 88 PHRASE negatives,no (paused/ended),"retailers (clicks, dischem, takealot, woolworths), competitor brands (cerave, the ordinary, la roche posay, eucerin, nivea, palmers, bio oil, cetaphil ...)",none,"Would block retailer-navigation brand queries if re-enabled; competitor-brand queries with Google Shopping App purchases exist (e.g. la roche posay 1, bio oil 1, cetaphil checkers 1 in prev-90) but those are single events, not proof either way",prev-90 purchase-attributed STV,PRESERVE as-is; revisit only with re-enable decision,"raw/31, prev-90 purchase STV (inline)"
Campaign level (paused),"PNC_PASTRY_WAR_Search_Product_20260803: BROAD negatives medicube, pastry",no (paused),"""pastry"" broad negative removes all brand queries from that product campaign",none,intentional routing,n/a,PRESERVE (paused),raw/31
Cross-campaign routing,"Brand+product queries (e.g. ""pastry anti pigment hand cream"" 35 clicks 2 GA4 purchases; ""pastry niacinamide body lotion"" 33 clicks 2; ""pastry glycolic acid body wash"" 22 clicks 0) are served by PHI phrase keywords, not Brand Search",yes,n/a,none,none: PHI sends them to the exact product page at avg CPC R2.7-2.9 vs Brand homepage; converting,raw/40,PRESERVE routing; no negatives added,raw/40
