row_id,surface,query_or_url,exact_finding,citation_or_feature_evidence,severity,evidence_source,retrieval_date,recommendation,dependency
CAVEAT,all,"—","ZA AI Overviews, Google Images/Lens performance, video results and Discover could not be observed this session: google.com egress-blocked, WebSearch is US-origin and renders no SERP features, GSC search-appearance/Discover reports inaccessible. Rows below are what could be verified.",—,—,source-probes.json,2026-07-31,"ZA observation protocol + GSC access (D1/D2) unlock this file's missing rows",D1/D2
AI-01,ai_search,/pages/llms,"Published page 'AI Agents & LLMs' (handle llms) exists, updated 2026-07-31T03:47Z — deliberate machine-readable-access artifact","page verified in Admin; root /llms.txt existence NOT VERIFIED (no theme template for it; live fetch blocked)",informational,shopify-content-architecture.json pages + shopify-theme-config.json llms_agents_check,2026-07-31,"Report-only (F-AI-01): no llms.txt recommendation without official-doc support (docs unreachable)",official docs access
AI-02,ai_search,"/pages/ingredient-glossary + ingredient-retinol, -niacinamide, -vitamin-c, -hyaluronic-acid, -salicylic-acid, -glycolic-acid, -collagen, -glutathione, -kojic-acid, -tranexamic-acid","11-page ingredient hub with answer-shaped titles ('X — Benefits, How to Use & Top Products in South Africa') — the site's strongest passage-answerability asset",AI-surface citations NOT VERIFIED (no ZA observation channel),strength,shopify-content-architecture.json pages.all_pages,2026-07-31,"Interlink from matching collections/products; add to ZA citation-tracking query set (file 14)",D2 for measurement
AI-03,ai_search,collection pages site-wide,"72.8% of collections have empty body copy — passage-level answerability is structurally absent on most category surfaces AI systems would cite for commercial queries",n/a,high,shopify-content-architecture.json collections.body_description_coverage,2026-07-31,"Same fix as F-ONPAGE-01 — content program is the AI-surface program for commercial queries",content resourcing
MEDIA-01,images,active catalog featured images,"62 of 1623 active products have missing/empty featured alt (3.8%); 1561 have alt","intentional-decorative subset NOT VERIFIED (dispatch P10 caveat honored)",low,shopify-products-quality.json aggregates.altStateBreakdown,2026-07-31,"Product-photo alts only (F-ONPAGE-03); image sitemap state NOT VERIFIED (Shopify auto-includes images in sitemap; live sitemap unfetchable)",manual review
MEDIA-02,video,site-wide,"VideoObject eligibility, video landing pages, YouTube presence: NOT VERIFIED — no fetch channel and no YouTube URL surfaced in the observed brand queries this run",no video artifacts observed (absence ≠ nonexistence),unknown,websearch-brand.json (absence),2026-07-31,"Inventory video assets during content phase; check YouTube channel existence from unblocked vantage",D2
MEDIA-03,discover,domain-wide,"Discover eligibility/traffic NOT VERIFIED — GSC Discover report is the only evidence source and is inaccessible",—,unknown,source-probes.json gsc,2026-07-31,"Read GSC Discover report during D1",D1
APP-01,app/media,Google Play listing,"Play listing indexed as 'BeautyonTApp - Apps on Google Play' with package id app.shopbeautyontapp.co.za — app identity is tied to the LEGACY domain","observed indexed title + URL (US-origin)",medium,websearch-brand.json app_and_social_presence.google_play,2026-07-31,"Report-only: package ids are immutable on Play; renaming requires a new listing — decision context for D4, not an action",D4
APP-02,app/media,this repo (BeautyOnTapp Flutter app v1.1.2+4),"The repo CANNOT ship to Google Play as-is: applicationId is template default com.example.beautyontapp (android/app/build.gradle.kts:24, TODO intact) and release builds sign with the DEBUG keystore (build.gradle.kts:33-39). iOS bundle id IS configured (com.beautyontapp.ios.com). The indexed Play listing therefore comes from a different build lineage than this repo.","verified at file:line in repo",high (for app-surface strategy),repo-app-surface.json identifiers + store_listing_linkage_gaps,2026-07-31,"Before any Play release from this repo: set real applicationId + release signing. Decision needed on reconciling with the existing legacy-package listing (D4)",T decision D4
APP-03,app/media,web-to-app linkage,"Zero deep-link configuration: no Android App Links intent-filters (only MAIN/LAUNCHER), no assetlinks references, no iOS entitlements/Associated Domains, no CFBundleURLTypes, no deep-link packages — beautyontapp.com links can never open the app","repo-wide grep/glob evidence with zero matches, file:line cited in evidence",medium,repo-app-surface.json deep_links_app_links,2026-07-31,"If app indexing/web-to-app matters to strategy, plan App Links + Universal Links (requires APP-02 signing fix first for assetlinks SHA-256)",APP-02
APP-04,measurement,app WebView traffic,"App spoofs mobile Safari/Chrome user agents (store_webview.dart:57-68, comment: to keep Google OAuth working) and appends no tracking params — app sessions are indistinguishable from mobile web in GA4/logs; the app also has zero native analytics SDKs (pubspec verified)","verified at file:line",medium,repo-app-surface.json webview_target + pubspec.tracking_analytics_packages,2026-07-31,"Report-only measurement gap: app-attributed revenue cannot be isolated today; any fix (e.g. UA token or landing param) must be tested against the OAuth constraint that motivated the spoof",T decision; web-side tagging owner (Analyzify — do not change per P7)
APP-05,app/media,Apple App Store,"App Store listings indexed for US and ZA storefronts (id6754606514)","observed indexed titles (US-origin)",strength,websearch-brand.json app_and_social_presence,2026-07-31,"None — record presence; listing quality NOT VERIFIED (page unfetchable)",D2
