scope,list_or_campaign,keyword,match_type,rationale
"shared list (apply to C1-C4, NOT to Pastry_Brand_Search, NOT to C5 Shopping)",Pastry | NEG | Brand routing,pastry,PHRASE,"Route brand queries to Pastry_Brand_Search; in the current product campaign 20 of 60 top queries were ""pastry ..."" (search_terms_active_campaigns 28d)"
"shared list (apply to C1-C4, NOT to Pastry_Brand_Search, NOT to C5 Shopping)",Pastry | NEG | Brand routing,pastry skincare,PHRASE,"Route brand queries to Pastry_Brand_Search; in the current product campaign 20 of 60 top queries were ""pastry ..."" (search_terms_active_campaigns 28d)"
"shared list (apply to C1-C4, NOT to Pastry_Brand_Search, NOT to C5 Shopping)",Pastry | NEG | Brand routing,pastryskincare,PHRASE,"Route brand queries to Pastry_Brand_Search; in the current product campaign 20 of 60 top queries were ""pastry ..."" (search_terms_active_campaigns 28d)"
"shared list (apply to C1-C4, NOT to Pastry_Brand_Search, NOT to C5 Shopping)",Pastry | NEG | Brand routing,pasty skincare,PHRASE,"Route brand queries to Pastry_Brand_Search; in the current product campaign 20 of 60 top queries were ""pastry ..."" (search_terms_active_campaigns 28d)"
"shared list (apply to C1-C4, NOT to Pastry_Brand_Search, NOT to C5 Shopping)",Pastry | NEG | Brand routing,pantry skincare,PHRASE,"Route brand queries to Pastry_Brand_Search; in the current product campaign 20 of 60 top queries were ""pastry ..."" (search_terms_active_campaigns 28d)"
"shared list (apply to C1-C4, NOT to Pastry_Brand_Search, NOT to C5 Shopping)",Pastry | NEG | Brand routing,pastry skin,PHRASE,"Route brand queries to Pastry_Brand_Search; in the current product campaign 20 of 60 top queries were ""pastry ..."" (search_terms_active_campaigns 28d)"
shared list (apply to C1-C5),Pastry | NEG | Competitor brands,dove,PHRASE,"Competitor brand queries seen in Shopping/Search terms (dove, nivea, standard beauty, the ordinary, medicube, aplb, palmers, neutrogena, kiehls, loccitane, minimalist) and Semrush body wash/lotion lists"
shared list (apply to C1-C5),Pastry | NEG | Competitor brands,nivea,PHRASE,"Competitor brand queries seen in Shopping/Search terms (dove, nivea, standard beauty, the ordinary, medicube, aplb, palmers, neutrogena, kiehls, loccitane, minimalist) and Semrush body wash/lotion lists"
shared list (apply to C1-C5),Pastry | NEG | Competitor brands,sanex,PHRASE,"Competitor brand queries seen in Shopping/Search terms (dove, nivea, standard beauty, the ordinary, medicube, aplb, palmers, neutrogena, kiehls, loccitane, minimalist) and Semrush body wash/lotion lists"
shared list (apply to C1-C5),Pastry | NEG | Competitor brands,lux,PHRASE,"Competitor brand queries seen in Shopping/Search terms (dove, nivea, standard beauty, the ordinary, medicube, aplb, palmers, neutrogena, kiehls, loccitane, minimalist) and Semrush body wash/lotion lists"
shared list (apply to C1-C5),Pastry | NEG | Competitor brands,radox,PHRASE,"Competitor brand queries seen in Shopping/Search terms (dove, nivea, standard beauty, the ordinary, medicube, aplb, palmers, neutrogena, kiehls, loccitane, minimalist) and Semrush body wash/lotion lists"
shared list (apply to C1-C5),Pastry | NEG | Competitor brands,dettol,PHRASE,"Competitor brand queries seen in Shopping/Search terms (dove, nivea, standard beauty, the ordinary, medicube, aplb, palmers, neutrogena, kiehls, loccitane, minimalist) and Semrush body wash/lotion lists"
shared list (apply to C1-C5),Pastry | NEG | Competitor brands,sorbet,PHRASE,"Competitor brand queries seen in Shopping/Search terms (dove, nivea, standard beauty, the ordinary, medicube, aplb, palmers, neutrogena, kiehls, loccitane, minimalist) and Semrush body wash/lotion lists"
shared list (apply to C1-C5),Pastry | NEG | Competitor brands,epimax,PHRASE,"Competitor brand queries seen in Shopping/Search terms (dove, nivea, standard beauty, the ordinary, medicube, aplb, palmers, neutrogena, kiehls, loccitane, minimalist) and Semrush body wash/lotion lists"
shared list (apply to C1-C5),Pastry | NEG | Competitor brands,satiskin,PHRASE,"Competitor brand queries seen in Shopping/Search terms (dove, nivea, standard beauty, the ordinary, medicube, aplb, palmers, neutrogena, kiehls, loccitane, minimalist) and Semrush body wash/lotion lists"
shared list (apply to C1-C5),Pastry | NEG | Competitor brands,lifebuoy,PHRASE,"Competitor brand queries seen in Shopping/Search terms (dove, nivea, standard beauty, the ordinary, medicube, aplb, palmers, neutrogena, kiehls, loccitane, minimalist) and Semrush body wash/lotion lists"
shared list (apply to C1-C5),Pastry | NEG | Competitor brands,oh so heavenly,PHRASE,"Competitor brand queries seen in Shopping/Search terms (dove, nivea, standard beauty, the ordinary, medicube, aplb, palmers, neutrogena, kiehls, loccitane, minimalist) and Semrush body wash/lotion lists"
shared list (apply to C1-C5),Pastry | NEG | Competitor brands,palmers,PHRASE,"Competitor brand queries seen in Shopping/Search terms (dove, nivea, standard beauty, the ordinary, medicube, aplb, palmers, neutrogena, kiehls, loccitane, minimalist) and Semrush body wash/lotion lists"
