source,scope,result,status,capture
Meta Ads MCP connector (Meta_ads_Claude) – ads_get_ad_accounts,Portfolio discovery,"4 ad accounts visible; Pastry ads 2972238613000896 (business Pastry Skincare 3929095220517711, ZAR, Africa/Johannesburg) selected",ACCESSIBLE,captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
"ads_get_ad_entities (campaign/adset/ad/account levels, breakdowns, time_increment)",Paid performance Mar 10–Sep 6 2026,"All pages returned in single responses (no next_cursor); 21 campaigns, 38 ad sets, 95 ads",ACCESSIBLE,captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
ads_get_creatives (creative_ids batch),76 creatives referenced by the 95 ads,body/title/CTA/video_id/effective_object_story_id/effective_instagram_media_id returned; link_url absent for post-native Reels,ACCESSIBLE (partial fields),captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
ads_get_ad_videos (video_ids),42 account-uploaded videos,"Only id/title returned; length, created_time, permalink NOT IN SOURCE despite fields requested; page-published Reel videos referenced by creatives are not in the account video library",PARTIAL,captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
ads_get_ad_preview (INSTAGRAM_REELS / feed),10 ads,Static preview frame returned for 9 video ads; DPA (catalogue) previews returned no image,"PARTIAL (frame only, no playback)",captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
ads_get_ig_accounts,Instagram professional account linked to ad account,"Returned []: no IG account exposed to the connector, so ads_get_ig_media and organic Reel insights are unavailable",NOT ACCESSIBLE,captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
ads_get_datasets / ads_get_dataset_details / ads_get_dataset_quality / ads_get_dataset_stats,Pixel 203047029058550,"Event counts by event and source (Aug 6–Sep 6), EMQ per event, no host breakdown returned",ACCESSIBLE,captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
ads_pixel_event_read / ads_get_customconversions,Pixel rules and custom conversions,"0 event rules, 0 custom conversions",ACCESSIBLE,captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
"ads_catalog_* (list_catalogs, product_sets, products, feeds, data_sources, partner_integrations, event_source_get_health, diagnostics)","Catalogues 2555447634850889, 875733698715725, 1514822569170254","47 items, 50 sets, batch_api source ""App 2125102444404598"", pixel match rate 1.0, 4 out-of-stock items",ACCESSIBLE,captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
"ads_account_get_activity_logs (3 windows Jun 1–Sep 6, limit 1000 each)",Change history,"1,205 unique events after de-duplication",ACCESSIBLE,captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
"ads_library_search (page 116534118031737, ACTIVE)",Public ad library,"28 active ads, all under the Pastry Skincare Page; no third-party/partnership ads detectable by this query",ACCESSIBLE,captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
ads_get_help_article,Official Meta definitions,"3-second plays, video metric calculation, safe zone, learning phase/learning limited articles retrieved with URLs",ACCESSIBLE,captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
Shopify MCP (get-shop-info),Order/revenue truth,"Re-authorised at 10:53 UTC: store 4iqvgt-rc.myshopify.com / pastryskincare.co.za (Advanced, ZAR, SAST). ShopifyQL sales, sessions, referrers, product sales; GraphQL products, collections, apps, publications. webPixel denied (read_pixels scope)",ACCESSIBLE (second pass),captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
"WebFetch / curl to pastryskincare.co.za, www.instagram.com, www.facebook.com, developers.facebook.com, scontent CDN","Destination pages, Reel permalinks, video files, Meta docs",CONNECT 403 from network egress proxy (policy denial) for every host,NOT ACCESSIBLE – NOT VERIFIED,captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
Repository /home/user/BeautyOnTapp and synced skills,"PNCapital/Pastry instructions, Business Facts, prior audits","No Pastry Business Facts file or prior Pastry Meta audit present; skills (research-mode, anti-fabrication) read and applied",NOT IN SOURCE,captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
Google Ads MCP (Pastry_Google_Ads) customer 8510842703 Pastry Skincare,"Daily cost only, for blended MER",88 daily rows Jun 8-Sep 5 (no rows for Jul 3-4),ACCESSIBLE (cost only; campaigns out of scope),captured 2026-09-06 10:59 UTC
