candidate_id,type,keyword_or_query,match_type,proposed_ad_group_id,proposed_ad_group,destination_url,merchant_feed_item,feed_availability,feed_price_zar,current_coverage,demand_evidence,serving_evidence,live_page_check,priority,confidence,notes
K-01,add exact keyword,niacinamide serum,EXACT,197968133726,Product | Pigmentation Serum,https://pastryskincare.co.za/products/pigmentation-correction-serum,shopify_ZZ_8767331172593_46213015339249,IN_STOCK,250,"none (only [pigmentation correction serum] exact, 50 impr 0 clicks 28d)","Semrush ZA 6,600/mo, CPC $0.34, KD 16",none yet,NOT VERIFIED (egress blocked),P2,Medium,Face-serum generic intent; product is 5% niacinamide face serum; test at ad-group bid R3.00
K-02,add exact keyword,hyperpigmentation serum,EXACT,197968133726,Product | Pigmentation Serum,https://pastryskincare.co.za/products/pigmentation-correction-serum,shopify_ZZ_8767331172593_46213015339249,IN_STOCK,250,none,Semrush ZA 390/mo,none,NOT VERIFIED,P2,Medium,
K-03,add exact keyword,dark spot corrector,EXACT,197968132926,Product | Evening Pigment Corrector,https://pastryskincare.co.za/products/evening-pigment-corrector,shopify_ZZ_9404701049073_47560294858993,IN_STOCK,295,none ([evening pigment corrector] RARELY_SERVED),"Semrush ZA 1,600/mo",none,NOT VERIFIED,P2,Medium,Ad copy: overnight corrector for stubborn dark marks
K-04,add exact keyword,ceramide serum,EXACT,197968132766,Product | Barrier Repair Serum,https://pastryskincare.co.za/products/barrier-repair-serum-ceramide,shopify_ZZ_8767331467505_46213040406769,IN_STOCK,280,"[barrier repair serum] exact only (28 impr, 2 clicks)","Semrush ZA 320/mo, KD 8",none,NOT VERIFIED,P3,Medium,
K-05,add exact keyword,body acne wash,EXACT,197968133886,Product | Salicylic Body Wash,https://pastryskincare.co.za/products/salicylic-acid-body-wash,shopify_ZZ_8772643487985_* (6 variants IN_STOCK),IN_STOCK,330,"phrase ""salicylic acid body wash"" only","Semrush ZA 210/mo; Shopping STV ""body acne treatment/wash"" clicks",Shopping 90d: body acne wash 24 clicks (PMax category),NOT VERIFIED,P3,Medium,Salicylic ad group has 58 clicks 0 purchases in 28d: monitor
K-06,add exact keyword,exfoliating body wash,EXACT,197968132966,Product | Glycolic Body Wash,https://pastryskincare.co.za/products/glycolic-acid-body-wash,shopify_ZZ_9322850550001_* (4 variants IN_STOCK),IN_STOCK,330,none,Semrush ZA 210/mo,"Shopping STV ""exfoliating body wash"" 9 clicks",NOT VERIFIED,P3,Medium,
K-07,HOLD,hand cream with spf,EXACT,197968132526,Product | Anti-Pigment Hand Cream,https://pastryskincare.co.za/products/anti-pigment-spf30-hand-cream,shopify_ZZ_8818191630577_46989386907889,OUT_OF_STOCK,345,"phrase/exact ""anti pigment hand cream""",Semrush ZA 210/mo,PHI 28d: 55 clicks R152 2 GA4 purchases,NOT VERIFIED,HOLD,High,Do not add while feed shows OUT_OF_STOCK; see CS-02
B-01,bid raise (test),glycolic acid body wash,EXACT,197968132966,Product | Glycolic Body Wash,https://pastryskincare.co.za/products/glycolic-acid-body-wash,IN_STOCK (4 variants),IN_STOCK,330,exact + phrase live,Semrush 720/mo,28d: 571 impr 37 clicks R107 1 GA4 purchase R622; IS 51% rank-lost 48%; first-page est R4.08,NOT VERIFIED,P1,Medium,see CS-03
B-02,bid raise (test),niacinamide body lotion,EXACT,197968133486,Product | Niacinamide Body Lotion,https://pastryskincare.co.za/products/niacinamide-body-lotion,shopify_ZZ_8772641751281_* IN_STOCK,IN_STOCK,325,exact + phrase live,Semrush 320/mo,"28d exact: 122 impr 8 clicks 0 conv IS 24%; phrase: 4 GA4 purchases R2,785; fp est R6.47",NOT VERIFIED,P1,Medium,see CS-03
B-03,bid raise (test),lactic acid body wash,EXACT,197968133246,Product | Lactic Body Wash,https://pastryskincare.co.za/products/lactic-acid-body-wash,shopify_ZZ_8772640964849_* IN_STOCK,IN_STOCK,310,exact + phrase live,Semrush 40/mo,"28d phrase: 1 GA4 purchase R1,270; exact fp est R3.59",NOT VERIFIED,P2,Medium,see CS-03
B-04,"bid raise (test, smaller step)",salicylic acid body wash,EXACT,197968133886,Product | Salicylic Body Wash,https://pastryskincare.co.za/products/salicylic-acid-body-wash,IN_STOCK (6 variants),IN_STOCK,330,exact + phrase live,"Semrush 1,000/mo (highest product term)",28d: 428 impr 15 clicks 0 purchases; IS 26% rank-lost 73%; fp est R6.47,NOT VERIFIED,P2,Low-Medium,No purchases yet; step to R4.50 not R6.47; stop rule in CS-03
