id,class,target,current_value,proposed_value,supporting_evidence,expected_mechanism,priority,confidence,dependency,authority_access_status,validation,rollback
CS-01,REPAIR,campaignBudgets/15437657173 (Pastry_Brand_Search 23660059123) amount_micros,"400000000 (R400/day, set 2026-08-30 09:53 via mobile app)",200000000 (R200/day) = exact pre-30-Aug state,F-02; change_event 2026-08-30; daily CPC table,"Removes the budget headroom that Max Conversions is spending on higher brand CPCs; expected: CPC back toward ~R1.0-1.1, IS stays ~80%+, purchases unchanged (test of hypothesis, not a promised uplift)",P1,Medium-High,none,BLOCKED: read-only connector; budget reduction requires explicit budget authority,"Pre-state: campaign_budget 15437657173 amount_micros=400000000; after change read back amount_micros=200000000 and confirm change_event row; 7-day check: Brand avg CPC, search IS, budget-lost IS, GA4 purchases and value vs 24-30 Aug baseline; keep untouched inventory diff (all other budgets unchanged)",Set amount_micros back to 400000000
CS-01-ALT,"REPAIR (alternative, not both)",campaigns/23660059123 maximize_conversions.target_cpa_micros,unset (no target),Set target CPA from observed Aug 24-30 CPA R21.01 (i.e. 21010000 micros) while keeping R400 budget,F-02,Gives Max Conversions a ceiling instead of a spend mandate,P1,Medium,Choose CS-01 or CS-01-ALT,BLOCKED: bidding change requires authority,Same 7-day read-backs as CS-01,Remove target CPA
CS-02,REPAIR (destination),adGroups/197968132526 Product | Anti-Pigment Hand Cream status,ENABLED (final URL /products/anti-pigment-spf30-hand-cream; feed variant OUT_OF_STOCK),PAUSED until the Merchant feed/Shopify shows the variant IN_STOCK,F-05; raw/37 item shopify_ZZ_8818191630577_46989386907889,Stops paying for clicks to an unbuyable page,P1,Medium (needs stock confirmation),Confirm stock in Shopify admin or live page first (both NOT VERIFIED here),BLOCKED: read-only connector,Pre-state ad group ENABLED; read back status; confirm no other ad group changed; re-enable when feed availability = IN_STOCK,Set ad group status ENABLED
CS-03a,TEST/GROW (bid),adGroupCriteria/197968132966~296254512880 [glycolic acid body wash] cpc_bid_micros,inherits ad group R3.00 (3000000),4100000 (R4.10; first-page estimate R4.08),"F-04; keyword metrics 28d (571 impr, 37 clicks, 1 GA4 purchase, IS 51%)",Raises rank on a term with a proven purchase; expect more impressions/clicks at slightly higher CPC,P2,Medium,none,BLOCKED: bidding change requires authority,"Keyword-level bid read-back; 14-day check of clicks, IS, purchases; stop rule: pause raise if 60 clicks with 0 GA4 purchases",Remove keyword bid (revert to ad-group bid R3.00)
CS-03b,TEST/GROW (bid),adGroupCriteria/197968133486~312631480528 [niacinamide body lotion] cpc_bid_micros,3000000,6500000 (R6.50; first-page estimate R6.47),"F-04; phrase variant delivered 4 GA4 purchases R2,785 in 28d",As above,P2,Medium,none,BLOCKED,As CS-03a,Remove keyword bid
CS-03c,TEST/GROW (bid),adGroupCriteria/197968133246~309843502541 [lactic acid body wash] cpc_bid_micros,3000000,3600000 (R3.60; first-page estimate R3.59),"F-04; phrase variant 1 GA4 purchase R1,270",As above,P3,Medium,none,BLOCKED,As CS-03a,Remove keyword bid
CS-03d,"TEST/GROW (bid, smaller step)",adGroupCriteria/197968133886~320574128594 [salicylic acid body wash] cpc_bid_micros,3000000,4500000 (R4.50; below first-page estimate R6.47),"F-04; highest ZA demand (1,000/mo) but 0 purchases from 58 clicks 28d","Tests whether rank, not intent, is the constraint",P3,Low-Medium,none,BLOCKED,Stop rule: revert if 40 more clicks with 0 GA4 purchases,Remove keyword bid
CS-04a,TEST/GROW (keyword add),new EXACT keyword [niacinamide serum] in adGroups/197968133726 Product | Pigmentation Serum,absent,"add, status ENABLED, no keyword bid (ad-group R3.00), final URL inherited from ad 820897584471","K-01; Semrush ZA 6,600/mo; feed item IN_STOCK R250",Captures a large in-stock product term with no current coverage,P2,Medium,none,BLOCKED,"Read back criterion; 14-day: impressions, CTR, purchases; stop rule 80 clicks 0 purchases",Remove keyword
CS-04b,TEST/GROW (keyword add),new EXACT [hyperpigmentation serum] in adGroups/197968133726,absent,add as CS-04a,K-02; 390/mo,,P3,Medium,none,BLOCKED,as CS-04a,Remove keyword
CS-04c,TEST/GROW (keyword add),new EXACT [dark spot corrector] in adGroups/197968132926 Product | Evening Pigment Corrector,absent,add as CS-04a (final URL inherited from ad 820897583736),"K-03; 1,600/mo; feed IN_STOCK R295",,P2,Medium,none,BLOCKED,as CS-04a,Remove keyword
CS-04d,TEST/GROW (keyword add),new EXACT [ceramide serum] in adGroups/197968132766 Product | Barrier Repair Serum,absent,add as CS-04a,K-04; 320/mo; IN_STOCK R280,,P3,Medium,none,BLOCKED,as CS-04a,Remove keyword
CS-04e,TEST/GROW (keyword add),new EXACT [body acne wash] in adGroups/197968133886 Product | Salicylic Body Wash,absent,add as CS-04a,K-05; 210/mo,,P3,Medium,none,BLOCKED,as CS-04a,Remove keyword
CS-04f,TEST/GROW (keyword add),new EXACT [exfoliating body wash] in adGroups/197968132966 Product | Glycolic Body Wash,absent,add as CS-04a,K-06; 210/mo,,P3,Medium,none,BLOCKED,as CS-04a,Remove keyword
CS-05,DECISION REQUIRED (not dispatched),campaigns/23654472671 Pastry_Shopping status (or 23659113115 Pastry_PMax),PAUSED since 2026-08-12,Re-enable ONE product route as a time-boxed test on the corrected primary conversion (Shopping standard at manual CPC R2.00 is the controllable option; PMax has no brand exclusion for Pastry),F-03; raw/35; raw/33,Restores non-brand product demand reach for 47 offers,P1 (decision),Medium,Fix F-06 image overlays first; confirm stock; decide brand handling; PMax option requires Pastry brand entity (NOT IN SOURCE),BLOCKED: campaign status + spend authority,"Pre-state statuses; read back; 14-day: GA4 purchases, cost, brand share of Shopping search terms",Set status PAUSED
CS-06,"REPAIR (store-side, outside Ads)",Shopify product images for Brightening Body Oil (9322841997553) and Anti-Pigment Hand Cream SPF30 (8818191630577),image_unwanted_overlays ERROR in Merchant feed copy,Replace primary image with overlay-free image in Shopify (feed sync app unchanged),F-06; raw/37,Offers become eligible when a product campaign runs,P2,High,Store owner action; no feed/app edits from this package,NOT IN SCOPE of Ads connector,Re-read shopping_product.issues after next feed sync,Restore previous image
CS-07,HOUSEKEEPING (optional),experiments/10061221130 and trial campaign 24003538946,ENABLED (ended),End experiment without applying; leave base campaign paused,F-10,Removes shared-budget ambiguity before any re-enable,P4,High,none,BLOCKED,Experiment status read-back,n/a (ended experiments cannot be reopened)
CS-08,EVIDENCE NEEDED (no change),conversionActions/7412046457 and 7453310793,"ENABLED, secondary",No change until canonical GA4 property confirmed; then consider status HIDDEN/REMOVED,F-08,Prevents re-pollution,P4,High,GA4 access,BLOCKED,n/a,n/a
