kpi,exact_definition,segment,baseline,first_party_source,date_range,cadence,success_criterion,current_data_quality_limitation
Non-brand organic clicks,GSC Performance clicks where query excludes brand terms (beautyontapp / beauty on tapp / bestie),ZA + web search type,NOT VERIFIED — GSC inaccessible this session (source-probes.json 2026-07-31),Google Search Console sc-domain:beautyontapp.com,trailing 28d vs prior 28d,weekly,rising 28d trend after each roadmap gate,GSC unreachable from this environment; baseline must be captured on an authenticated machine before any gate is judged
Non-brand organic impressions & CTR,GSC impressions and CTR on the same non-brand filter,ZA + mobile,NOT VERIFIED — GSC inaccessible this session,Google Search Console,trailing 28d,weekly,impressions up with CTR held or up,same as above; CTR shifts must be read per-query not aggregate (Simpson's paradox risk)
Indexed pages (coverage),GSC Page indexing report: indexed count and 'crawled - currently not indexed' count,whole property,NOT VERIFIED — GSC inaccessible this session,Google Search Console,point-in-time,monthly,indexed count stable-to-up; not-indexed bucket shrinking,GSC indexed-version inspection differs from live URL test (dispatch line 31) — record which one each check used
Sitemap coverage ratio,URLs in submitted sitemap vs URLs indexed from sitemap,whole property,NOT VERIFIED — GSC + sitemap fetch both blocked this session,GSC Sitemaps report,point-in-time,monthly,ratio trending toward 1.0 for canonical URLs,sitemap.xml itself was unfetchable this session (egress 403) so URL universe is unconfirmed
Shopping impressions/clicks (free listings),Merchant Center performance: free product listing clicks,ZA,NOT VERIFIED — Merchant Center 5717759749 inaccessible this session,Merchant Center account 5717759749,trailing 28d,weekly,clicks up with disapprovals flat-to-down,no MC channel in this session; Simprosys remains feed owner (dispatch line 33) — measure in MC not in the app
Feed disapprovals & warnings,MC Diagnostics: disapproved + demoted item counts by issue,all destinations,NOT VERIFIED — Merchant Center inaccessible this session,Merchant Center Diagnostics,point-in-time,weekly,zero critical disapprovals; warning count declining,diagnostics history is short — export weekly snapshots to keep a trend
GTIN coverage of active catalog,% of active products whose first variant carries a non-empty barcode,active products,see 07-shopping-merchant-gap.csv (first-party Shopify readback 2026-07-31),Shopify Admin GraphQL (read-only),point-in-time,monthly,coverage rising toward 100% of GTIN-eligible items,barcode field is a GTIN proxy — validity (check digit / GS1 range) not verifiable from Shopify alone
Local pack appearances,GBP Performance: searches where profile appeared (per store),per location,NOT VERIFIED — GBP inaccessible this session,Google Business Profile performance (authenticated),trailing 28d,monthly,each verified store trending up on discovery searches,dispatch line 34 forbids inferring readiness from public maps; only authenticated GBP counts
Store-page organic entrances,GA4 landing-page sessions for /pages/locations and any per-store pages from organic,ZA organic,NOT VERIFIED — GA4 not connected this session,GA4 (Analyzify-tagged property),trailing 28d,monthly,entrances up after local gate,GA4 property id unconfirmed this session; Analyzify ownership must not change (dispatch line 67)
Mobile CWV pass state,CrUX field p75 LCP / INP / CLS categories for key URL groups,mobile,see 10-mobile-cwv-gap.csv (PSI API 2026-07-31; partial),CrUX via GSC CWV report or PSI API,trailing 28d collection window,monthly,all three metrics 'good' at p75 for home + top collections,keyless PSI quota limited URL coverage this session; GSC CWV report is the authoritative grouping
AI-surface citation presence,Manual ZA-located checks: does an AI Overview appear for tracked queries and is beautyontapp.com cited,tracked query set (file 03),NOT VERIFIED — ZA SERPs unreachable this session,manual ZA observation protocol (logged screenshots with query/gl/hl/device/time),per check,monthly,citation share up on tracked set,no controlled rank truth exists for AI surfaces; treat every check as an observed snapshot (dispatch line 38)
Organic revenue by landing page,GA4 key-event revenue attributed to organic sessions by landing page,ZA organic,NOT VERIFIED — GA4 not connected this session,GA4 + Shopify sales reconciliation,trailing 28d,monthly,revenue up on pages touched by roadmap items,GA4/Shopify attribution never reconciles 1:1 — track direction not absolute
Google Ads organic/paid overlap,Paid & Organic report: queries where both appear; use Conversions column only,ZA,NOT VERIFIED — Google Ads not connected this session,Google Ads Paid & Organic report (requires GSC link),trailing 28d,monthly,no cannibalization regression while organic grows,dispatch line 56 mandates Conversions not All-conversions
Backlink authority trend,Referring domains count and authority trend for beautyontapp.com,domain,NOT VERIFIED — Semrush blocked (zero API units) this session,Semrush Backlink Analytics (after unit top-up) or GSC Links report,point-in-time,monthly,referring domains rising; toxic share flat,Semrush figures are dated third-party estimates for prioritization only (dispatch line 72)
