id,asset,current_state,evidence,mechanism,severity,confidence,dependency
F01,"Ad sets 120248284921000393, 120248284920020393, 120248284918900393 (campaign 120248284912210393 PASTRY_TEST_REELS_INTL_W4_W6_WORLDWIDE_EXCL_ZA_ABO_20260828)","geo_locations.countries=[ZA] and excluded_geo_locations.countries=[ZA,CN]; delivery=warning learning_exit_unsuccessfully; learning_stage_info.status=FAIL, conversions=0; ZAR250/day each; 0 impressions since 2026-08-28",evidence/raw/adsets_full.json (targeting); adset_inventory.csv; change_history_significant.csv 2026-08-28 MarketingAgent targeting updates,"The only included country is also excluded, so the audience is empty; the worldwide-excluding-ZA test cannot deliver and all 15 INTL ads are inert. Budgets are configured but unspent, so no money is lost but the test yields no learning.",High (test integrity) / Low (spend),High,Owner decision on whether the international test should run at all
F02,"Ad 120247999501100393 PASTRY_A1_ZA_BROAD_NEW_EXCL_SIGNALS__ANTI_PIGMENT_HAND_CREAM (creative 1542319103969645, IG media 17892363399551598)","Highest-spend video ad in L28: ZAR5,022.82, 36 purchases, CPA ZAR139.51, ROAS 4.50, CPM ZAR70.33, outbound CTR 2.86%, ATC/LPV 0.145 vs account 0.232, 20 comments (most of any ad). Catalogue item 26251588507861804 Anti-Pigment Hand Cream SPF30 75ml availability = out of stock at capture",ad_scorecard_periods.csv L28 row; catalog_products_2555447634850889.csv retailer_id 46989386907889; creative 1006687488994923 link_url https://pastryskincare.co.za/products/anti-pigment-spf30-hand-cream,"Strong attention and click intent but weak add-to-cart per landing view; the promoted hero product is flagged out of stock in the catalogue, which is consistent with clicks not converting. On-site state NOT VERIFIED (storefront blocked from this environment).",High,Medium-High,Shopify stock check for product 8818191630577; comment review in Business Suite
F03,Ad sets 120239423593800393 / 120239424374890393 / 120239424374900393 (PASTRY_DPA_Broad_Acq_1/2/3) and ads 120239423593790393 / 120239424374910393 / 120239424374880393,"Renamed 2026-08-05 from RT_Cart_Abandoners / RT_Product_Viewers / RT_Past_Purchasers; targeting is now broad ZA 18-65, Advantage+ audience, only ""Pastry | Purchasers | 180d | REBUILD_20260805"" excluded; creatives still carry retargeting copy (""Ready to restock? Your skin loved it the first time"", ""Still thinking about it? Complete your order"", ""You were looking at something good... Come back"")","adset_inventory.csv; change_history_significant.csv 2026-08-05 rows (Ads Automation Pastry); creative_inventory.csv creatives 1630677048061128, 2310973609402332, 26206822805650383","Copy written for prior visitors and buyers is served to people who have never visited, to whom ""restock"" or ""complete your order"" is untrue. The three ad sets are nevertheless the most efficient in the account (L28 CPA ZAR61.57-72.75, ROAS 11.8-13.3), so this is a message-truthfulness and headroom issue, not a delivery defect.",Medium,High,None for an additive creative repair
F04,Account 2972238613000896 attribution vs pixel volume,"Meta-attributed website purchases 568 in L28 vs about 1,025 pixel Purchase events in the same calendar span (Pacific-bucketed daily stats Aug 9-Sep 5): attributed share about 55% under 7-day click / 1-day view",account_baseline_periods.csv; pixel_events_daily.csv,"More than half of all store purchases are claimed by Meta. With Shopify unavailable and Google Ads out of scope, blended efficiency and incremental contribution cannot be established; Meta ROAS of 9-13 must not be read as profit.",Medium (decision risk),High on the numbers / Low on incrementality,Shopify re-authorisation; a holdout or geo test
F05,"Ad set 120239422422230393 AS1_Hyperpigmentation (campaign PASTRY_Main_Revenue, paused); ads 120239422780760393, 120239422422240393, 120239422499600393","delivery=error all_ads_in_error: ""Instagram media 17947556741721787 / 18435405853187644 does not correspond to any existing media"" and ""No Valid Formats""; the ad set produced 634 purchases and ZAR563,256 attributed value lifetime",ads_get_errors output quoted in report section 4; ad_inventory.csv effective_status WITH_ISSUES,"Organic posts used as ad creative were deleted, permanently breaking the ads and their social-proof history; the historic top concept (""new... Pastry Premium"", 258 purchases) cannot be reused as-is.",Medium,High,Re-upload of the source video as an ad-account asset if the file exists
F06,"Campaigns 120245549293410393, 120245548997690393, 120245548921010393, 120245548839430393 (Instagram boosts 2026-06-16 to 06-30)","Objective LINK_CLICKS optimised for Instagram profile visits; ZAR10,629 total; conversion fields null; landing page views 139-386 per ZAR2,655 (LPV per link click 0.10-0.17)",campaign_inventory.csv; ad_scorecard_periods.csv L90 rows,"Boosts bought profile visits, not sessions or purchases; they are not comparable with sales campaigns and produced no measurable purchase evidence.",Low (historic),High,None
F07,Creative 2141198163103531 / ad 120247999500050393 (Salicylic + Vitamin C EXACT) and creatives 1487817019559391 / 2050311515844483 (original post),"Preview frame shows on-screen text ""FADE YOUR BURN MARK WITH THIS COMBO"", a before/after scar image and a screenshot of a customer message containing the word ""iBleach""; caption claims the combo helps ""visibly fade blemishes and burn marks""",ads_get_ad_preview INSTAGRAM_REELS ad 120247999500050393 (frame inspected 2026-09-06); creative_inventory.csv body text,"Before/after imagery, scar-fading claims and any bleaching association are evidence-dependent claims under Meta personal-health policy and South African advertising rules; a rejection or complaint would remove the best-performing acquisition recut (ROAS 13.5 on 24 purchases).",Medium,Medium (single frame; full video not watched),Substantiation file for the testimonial; compliance review
F08,"Creatives 1019293427658617 (Deodorant 1-month review), 2851210671894413 (Customer results 2 weeks apart), preview of ad 120248284964440393 (""REDUCED UNDERARM PIGMENTATION IN JUST 4 WEEKS REVIEW"")",Before/after underarm images with a time-bound result claim; used in the non-delivering INTL ad set and the paused W6 test,ads_get_ad_preview ad 120248284964440393; creative_inventory.csv,Same claim-substantiation exposure as F07; low commercial impact today because the ads are not delivering.,Low-Medium,Medium,Substantiation file
F09,"Reels placements (facebook_reels, instagram_reels) vs feed and stories, account level","L28: FB Reels ZAR4,621 / 31 purchases / CPA ZAR149 / ROAS 4.8; IG Reels ZAR4,123 / 43 / CPA ZAR96 / ROAS 7.7; IG Feed ZAR13,947 / 183 / ROAS 11.6; FB Feed ZAR15,434 / 187 / ROAS 10.4; IG Stories ZAR6,434 / 90 / ROAS 11.1. L90: FB Reels ROAS 7.5, IG Reels 7.9, IG Feed 10.3, FB Feed 8.4, IG Stories 9.4",placement_breakdown.csv,"Reels placements carry 19% of L28 spend and 13% of purchases. Part of the gap is mix (catalogue DPA ads serve mainly in feed and stories), so this is not proof that Reels creative is weak; it shows that current Reels-format exposure converts less per rand than feed exposure in this account.",Medium,Medium (mix-confounded),Ad-level placement split before any placement change
F10,Ad set 120239423593800393 PASTRY_DPA_Broad_Acq_1,"Manual placements: Instagram only (stream, story, reels, explore_home, profile_feed, ig_search), mobile only; sibling DPA ad sets use Advantage+ placements",adset_inventory.csv; raw targeting publisher_platforms,Inconsistent placement policy within one campaign; Acq_1 has the highest CPM (ZAR56.71 vs 39.33 and 43.65) and highest CPA (ZAR72.75 vs 61.57 and 65.81) of the three in L28. Not proven causal.,Low,Medium,None
