competitor_domain,queries_appeared_in_of_10,queries,example_observed_url,winning_page_evidence,fetched_page_analysis,provenance
CAVEAT,"Competitor set derived ONLY from the 10 category queries observed this run (2026-07-31, WebSearch, US datacenter). No historical competitor inherited from Business Facts (file unreachable) or memory. ZA-localized ordering NOT VERIFIED. Dispatch phase 6 requires fetching each winning page — impossible this session (egress policy); every fetched_page_analysis cell is therefore NOT VERIFIED.",,,,,source-probes.json
glowtheory.com,4,"korean skincare south africa; skincare online south africa; COSRX south africa; ANUA south africa",https://glowtheory.com/collections/cosrx,"brand-collection URL pattern observed in results",NOT VERIFIED — page fetch egress-blocked,websearch-category.json competitor_frequency_table
seouloftokyo.co.za,3,"korean skincare south africa; COSRX south africa; Beauty of Joseon south africa",https://seouloftokyo.co.za/product-category/brands/beauty-of-joseon/,"WooCommerce-style brand-category URL observed",NOT VERIFIED — fetch blocked,websearch-category.json
arcstore.co.za,3,"COSRX south africa; Beauty of Joseon south africa; buy makeup online south africa",https://www.arcstore.co.za/brands/cosrx,"/brands/<name> URL pattern observed",NOT VERIFIED — fetch blocked,websearch-category.json
superbalist.com,3,"COSRX south africa; Beauty of Joseon south africa; buy makeup online south africa",https://superbalist.com/brands/beauty-of-joseon,"marketplace /brands/ URL observed",NOT VERIFIED — fetch blocked,websearch-category.json
caretobeauty.com,3,"ANUA south africa; Beauty of Joseon south africa; CeraVe online south africa",https://www.caretobeauty.com/za/anua/,"country-subfolder (/za/) brand URL observed — cross-border retailer with ZA-targeted paths",NOT VERIFIED — fetch blocked,websearch-category.json
cosmetology.co.za,3,"COSRX south africa; CeraVe online south africa; La Roche-Posay south africa online",https://www.cosmetology.co.za/brand/cerave-south-africa/,"brand+'south-africa' slug pattern observed in URL",NOT VERIFIED — fetch blocked,websearch-category.json
bash.com,3,"Beauty of Joseon south africa; acne treatment products south africa; buy makeup online south africa",https://bash.com/brands/beauty-of-joseon,"large-retailer /brands/ URL observed",NOT VERIFIED — fetch blocked,websearch-category.json
clicks.co.za,2,"korean skincare south africa; La Roche-Posay south africa online",https://clicks.co.za/brands/k-beauty,"national pharmacy chain k-beauty brand hub observed",NOT VERIFIED — fetch blocked,websearch-category.json
secretskin.co.za,2,"korean skincare south africa; skincare online south africa",https://secretskin.co.za/,homepage observed in results,NOT VERIFIED — fetch blocked,websearch-category.json
kbeauty.co.za,2,"korean skincare south africa; Beauty of Joseon south africa",https://kbeauty.co.za/collections/beauty-of-joseon,exact-match domain + brand collection observed,NOT VERIFIED — fetch blocked,websearch-category.json
kbeauty-sa.com,2,"korean skincare south africa; ANUA south africa",https://www.kbeauty-sa.com/pages/anua-south-africa,"dedicated 'anua-south-africa' landing PAGE (not a collection) observed — notable page-type choice",NOT VERIFIED — fetch blocked,websearch-category.json
skinmiles.com,2,"skincare online south africa; La Roche-Posay south africa online",https://skinmiles.com/shop/,shop hub URL observed,NOT VERIFIED — fetch blocked,websearch-category.json
skinfunctional.com,2,"skincare online south africa; acne treatment products south africa",https://skinfunctional.com/collections/acne,"concern-collection URL observed; note SKIN FUNCTIONAL is also BeautyOnTApp's #2 vendor (77 products) — supplier competing in SERPs",NOT VERIFIED — fetch blocked,websearch-category.json + shopify-products-quality.json topVendors
dermastore.co.za,2,"CeraVe online south africa; La Roche-Posay south africa online",https://dermastore.co.za/shop/range/cerave/,range URL observed,NOT VERIFIED — fetch blocked,websearch-category.json
takealot.com,2,"ANUA south africa; La Roche-Posay south africa online",https://www.takealot.com/beauty/larocheposay,marketplace category URL observed,NOT VERIFIED — fetch blocked,websearch-category.json
