finding_id,surface,url_or_pattern,exact_finding,current_state,severity,confidence,root_cause,affected_count,evidence_source,retrieval_date,recommendation,dependency,validation_test
F-TECH-01,technical,"/collections/body-acne; /collections/korean-essences-and-toners; /collections/korean-cleansers-oil; /collections/brightening-body; /collections/sensitive-barrier-rescue-pm","URL redirects exist on the paths of LIVE collections that are simultaneously linked in the navabr mega-nav (e.g. /collections/body-acne -> /collections/acne while body-acne holds 39 products and is nav-linked)","Redirect rows and live nav links coexist for the same 5 paths in Shopify Admin; which one wins for shoppers/Googlebot NOT VERIFIED (public fetch egress-blocked this session)",high,high,"Redirects created during collection restructuring without reconciling the nav or deleting/repurposing the live collections",5 paths,"shopify-content-architecture.json url_redirects.conflicts_and_chains + menus.navabr",2026-07-31,"Investigation only: verify live behavior of each path from an unblocked vantage; then either remove the redirect or remove the nav link + collection per path — one decision per path; no blanket action","access to live URL behavior (decision D2)","fetch each path: expect either 200 collection with nav intact or 301 with nav link removed; zero cases of nav link pointing at a redirecting path"
F-TECH-02,technical,"/products/loreal-revitalift-filler-...-day-cream -> /collections/best-seller -> /collections/skincare; /collections/sensitive-barrier-rescue-pm -> /collections/sensitive-1 -> /collections/sensitive-skin","Two-hop redirect chains recorded in the Shopify redirect table",Chains exist in first-party redirect data; live hop count NOT VERIFIED (egress blocked),medium,high,"Redirect targets themselves later became redirect sources; no chain audit after each edit",2 chains verified in sampled 50 of 92 redirects,"shopify-content-architecture.json url_redirects.conflicts_and_chains",2026-07-31,"Repoint chain heads directly at final destinations after live verification; audit the 42 unsampled redirects for further chains","live URL verification (D2)","curl -I each chain head returns single 301 to final URL"
F-TECH-03,technical,/pages/privacy-policy -> /pages/yourprivacychoices,"Redirect target handle 'yourprivacychoices' does not exist among the 32 pages retrieved; probable broken redirect (privacy page live handle is data-sharing-opt-out)",Redirect row present in Shopify Admin; target page absent from pages list same run,medium,high,"Redirect written to a handle that was later renamed or never created",1,"shopify-content-architecture.json url_redirects (row) + pages.all_pages (32 handles, same run)",2026-07-31,"Repoint /pages/privacy-policy redirect to the live privacy destination after confirming intended target with T","T confirms intended destination","fetch /pages/privacy-policy: 301 to a 200 page"
F-TECH-04,technical,"/shop/; /collections/all; /apps/oneloyalty; /pages/wishlist; /collections/best-seller; /collections/mzuri","Google still surfaces URLs the current platform state supersedes: legacy /shop/ path with pre-Shopify tagline title; /collections/all + /apps/oneloyalty despite v8.2.2 theme noindex logic covering them; /collections/best-seller + /collections/mzuri despite live redirects on those paths","Indexed titles observed via WebSearch (US-origin) 2026-07-31; theme noindex/redirect state verified in Admin same day; index has not yet reconciled — or directives are not reaching Google (which of the two is NOT VERIFIED without GSC)",medium,medium,"v8.2.2 remediation shipped hours before this audit (theme updatedAt 2026-07-31T04:14Z); Google recrawl lag is expected — but only GSC indexed-version inspection can confirm the directives are being read",6+ URLs observed,"websearch-brand.json aggregated_findings + shopify-theme-config.json robots_noindex_logic + url_redirects",2026-07-31,"No action from this evidence alone; run GSC URL inspection (indexed version, not live test) on these 6 URLs to confirm Google sees the new directives; only escalate if indexed version is stale after recrawl","GSC access (D1)","GSC indexed-version shows noindex/redirect honored for all 6"
F-TECH-05,technical,/robots.txt,"Custom robots.txt.liquid exists and reproduces Shopify default groups verbatim plus exactly one extra rule: Allow: /collections/body-wash-1/body-wash+shower-gel for user-agent *","Verified from full 588-byte file content in MAIN theme; matches the dispatch's described intent (let Google read a page-level noindex on one legacy tagged URL)",none — verified healthy,high,n/a,1 file,"shopify-theme-config.json robots_txt.full_content",2026-07-31,"None. Per dispatch constraint no robots change is recommended (official Google docs unreachable this session anyway)",none,"n/a — state recorded"
F-TECH-06,technical,site-wide <head>,"No hreflang link tags anywhere in layout/theme.liquid while 3 markets are enabled (ZA primary + 'inter' + 'inter duties not collected')","Verified absent in retrieved layout content; whether international markets use distinct URLs (which would warrant hreflang) NOT VERIFIED",low,medium,"Single-storefront setup; international markets appear to share the ZA storefront",1 layout,"shopify-theme-config.json hreflang + markets",2026-07-31,"Report only: confirm whether inter markets serve distinct URLs before any hreflang consideration",market URL structure evidence,"if inter markets share URLs no action; if subfolders exist revisit"
F-TECH-07,technical,"collection pages with sort_by/filters/tags; /search; /cart; pagination beyond cap","Theme applies noindex,follow to search, cart, /apps/oneloyalty, sorted/filtered/tagged collection views, empty collections, and pagination beyond a 24-per-page cap","Verified in layout robots logic quote; rendered output on live URLs NOT VERIFIED (egress blocked)",none — verified healthy design,high,n/a,site-wide pattern,"shopify-theme-config.json robots_noindex_logic_quote",2026-07-31,"None — record as strength; spot-check rendered meta on live URLs when access exists","D2 for rendered check","view-source on a filtered collection URL shows noindex,follow"
F-ARCH-01,architecture,menu handle main-menu (isDefault true),"Default menu 'main-menu' is mis-nested: alphabetical brand lists sit as children of unrelated 'Dermopal' and 'Mzuri' items; 'Kind Skincare' points at an AXIS-Y product URL; 'Lanolab' points at /collections/l-oreal-elvive; 'Innisfree' points at an on-site search URL ending '#'","Verified in menus query; whether the storefront header renders main-menu or navabr NOT VERIFIED (header.liquid settings not inspected)",medium,high,"Menu repurposed by renaming items without rebuilding structure; links never re-audited",1 menu / 30+ items,"shopify-content-architecture.json menus.main_menu",2026-07-31,"Determine which surface consumes main-menu (header setting or app); rebuild its items to point brand names at their own collections","theme settings readback","every main-menu item resolves to its own brand collection URL"
F-ARCH-02,architecture,"navabr items: Dark Marks; Hair Extensions; selfcare items; Books","Mega-nav sends 'Dark Marks' to a single product (/products/avene-cleanance-aha-exfoliating-serum) instead of /collections/dark-marks; Hair Extensions + 3 selfcare items point at single products; 'Books' is a dead '#' link","Verified in menus query this run",medium,high,"Nav links created before destination collections existed (or as quick fixes) and never upgraded",6+ items,"shopify-content-architecture.json menus.navabr_meganav.anomalies",2026-07-31,"Point concern/category nav items at collection URLs where a populated collection exists; remove or complete the '#' item","confirm target collections exist and are populated","no nav item resolves to '#' or to a single product where a category collection exists"
F-ARCH-03,architecture,"anti-aging(192)/anti-ageing(62); face-masks(103)/face-mask(133); sunscreen(103)/suncare(93); centella(130)/centella-asiatica(49); best-sellers(129)/best-seller-1(364); erborian(23)/erborian-1(21); yearn(29)/yearnskin(5)","Seven live duplicate-intent collection pairs, several with both members holding 20-400 products; two Mzuri collection URLs also both indexed by Google","Verified in collections pagination; Google indexing of both Mzuri URLs observed via WebSearch (US-origin)",high,high,"Collections created ad hoc across time (spelling variants, -1 suffixes) without an intent map",7+ pairs,"shopify-content-architecture.json duplicate_or_overlapping_collections_observed + websearch-brand.json",2026-07-31,"Per dispatch constraint NO blanket consolidation: decide each pair individually (which URL owns the intent, what happens to the other) — decision list in 12-open-decisions.md D7","T authority per pair","each pair resolves to one indexable owner URL with the other 301'd or intentionally differentiated"
