row_id,dimension,exact_finding,current_state,confidence,evidence_source,retrieval_date,recommendation,dependency
AUTH-01,backlinks,"Backlink and referring-domain profile NOT VERIFIED: Semrush skipped by T's directive ('Skip semrush', this conversation); GSC Links report inaccessible; no other authority source permitted/available this session",evidence gap,high (that the gap exists),user directive this conversation + source-probes.json,2026-07-31,"Capture GSC Links export during D1; defer authority-gap conclusions and any digital-PR sequencing until baseline exists",D1
AUTH-02,legacy equity,"shopbeautyontapp.co.za: registered in Shopify domains (with www variant) AND still present in Google's index (observed URL /brands/pastry-skincare/ carrying the CURRENT brand title) AND outranked the main site on the observed 'COSRX south africa' query AND is the Android app package identity (app.shopbeautyontapp.co.za). Whether every legacy URL 301s to a path-equivalent on beautyontapp.com is NOT VERIFIED (egress blocked).","split-identity risk, partially verified",medium,shopify-theme-config.json domains + websearch-brand.json legacy_domain_observed (incl. Play package id note) + websearch-category.json,2026-07-31,"Verify path-level redirect coverage from an unblocked vantage (D4); if legacy URLs 200 or 301 only to homepage, that is recoverable equity — report sizing to T",D2/D4
AUTH-03,other portfolio domains,"beautyontapp.co.za (+www) also registered in Shopify domains; redirect state NOT VERIFIED; account.beautyontapp.com subdomain present (customer accounts)",inventory recorded,high,shopify-theme-config.json domains,2026-07-31,"Include in the same redirect-verification pass",D2
ENT-01,Organization schema,"schema-organization.liquid (3004 bytes) rendered on home only; sameAs contents NOT VERIFIED (snippet body not extracted this run)",partially verified,medium,shopify-theme-config.json json_ld_renders_quote + files list,2026-07-31,"Extract snippet body and verify sameAs covers the verified profiles (IG, TikTok, X, both app stores) — read-only check first",none
ENT-02,LocalBusiness schema,"schema-local-business.liquid (7809 bytes) rendered on ALL pages (unconditioned render call); rendered output validity and per-store accuracy NOT VERIFIED; store-facts inputs currently inconsistent (F-LOCAL-01/-02)",risk flagged,medium,shopify-theme-config.json json_ld_renders_quote,2026-07-31,"After F-LOCAL-01 resolves, validate rendered LocalBusiness against reconciled store facts (Rich Results test)","F-LOCAL-01, D2"
ENT-03,Product schema ownership,"No Product JSON-LD in theme files retrieved; webrex-sale-duration-fix.js asset loaded on product pages — consistent with dispatch: Webrex is sole Product schema source. Rendered Product schema NOT VERIFIED (unfetchable).",ownership consistent,medium,shopify-theme-config.json flagged_apps.webrex + preload_and_script_hints_quote,2026-07-31,"None (P4: no consolidation, no second source); validate rendered output during D2",D2
ENT-04,social/app entity surface,"Indexed and observed: instagram.com/beautyontapp, tiktok.com/@beautyontapp, x.com/BeautyonTApp, Apple App Store (US+ZA) id6754606514, Google Play app.shopbeautyontapp.co.za",verified presence (index-level),high,websearch-brand.json app_and_social_presence,2026-07-31,"Feed into ENT-01 sameAs verification; note Play identity carries legacy domain (AUTH-02)",none
ENT-05,reputation,"Hellopeter listing observed with '2.7' TrustIndex in its indexed title; page content, review count and recency NOT VERIFIED (unfetchable)",unconfirmed risk,low,websearch-brand.json gaps_and_not_verified,2026-07-31,"Read the profile from an unblocked vantage; if confirmed, review-response program becomes an authority workstream (report-only)",D2
ENT-06,knowledge signals,"Knowledge panel / entity-panel state NOT VERIFIED (WebSearch renders no feature markup; ZA SERPs unreachable)",evidence gap,high (gap),websearch-brand.json gaps_and_not_verified,2026-07-31,"Assess during ZA observation protocol (file 14 KPI row)",D2
ENT-07,expertise signals,"11 ingredient pages exist as expertise assets (F-AI-02); named-author/credential markup NOT VERIFIED (page bodies not fetched)",partially verified,medium,shopify-content-architecture.json pages.all_pages,2026-07-31,"During content phase, verify/add author identity on ingredient + blog content per E-E-A-T practice — content decision, not schema change",content resourcing
